====================================================================================================
BREAKTHROUGH TOURNAMENT - MOVE GENERATION LOG
Started: 2026-02-07 10:12:43
====================================================================================================

[Game   1] [Move   1] Player: P1   (MCVS) | Sims:   108 | Time:  1.518s | Move: (1, 1, 2, 1)
[Game   1] [Move   2] Player: P2   (UCT ) | Sims:   161 | Time:  1.509s | Move: (6, 0, 5, 0)
[Game   1] [Move   3] Player: P1   (MCVS) | Sims:    98 | Time:  1.511s | Move: (1, 7, 2, 7)
[Game   1] [Move   4] Player: P2   (UCT ) | Sims:   171 | Time:  1.510s | Move: (6, 3, 5, 3)
[Game   1] [Move   5] Player: P1   (MCVS) | Sims:   110 | Time:  1.503s | Move: (1, 6, 2, 6)
[Game   1] [Move   6] Player: P2   (UCT ) | Sims:   175 | Time:  1.502s | Move: (6, 4, 5, 4)
[Game   1] [Move   7] Player: P1   (MCVS) | Sims:   110 | Time:  1.509s | Move: (1, 5, 2, 5)
[Game   1] [Move   8] Player: P2   (UCT ) | Sims:   108 | Time:  1.502s | Move: (5, 4, 4, 4)
[Game   1] [Move   9] Player: P1   (MCVS) | Sims:   107 | Time:  1.503s | Move: (0, 6, 1, 6)
[Game   1] [Move  10] Player: P2   (UCT ) | Sims:   175 | Time:  1.507s | Move: (4, 4, 3, 4)
[Game   1] [Move  11] Player: P1   (MCVS) | Sims:   109 | Time:  1.514s | Move: (1, 3, 2, 3)
[Game   1] [Move  12] Player: P2   (UCT ) | Sims:   143 | Time:  1.510s | Move: (3, 4, 2, 5)
[Game   1] [Move  13] Player: P1   (MCVS) | Sims:   116 | Time:  1.507s | Move: (1, 0, 2, 0)
[Game   1] [Move  14] Player: P2   (UCT ) | Sims:   150 | Time:  1.522s | Move: (7, 4, 6, 4)
[Game   1] [Move  15] Player: P1   (MCVS) | Sims:   112 | Time:  1.503s | Move: (1, 6, 2, 5)
[Game   1] [Move  16] Player: P2   (UCT ) | Sims:   161 | Time:  1.514s | Move: (5, 3, 4, 3)
[Game   1] [Move  17] Player: P1   (MCVS) | Sims:   119 | Time:  1.505s | Move: (0, 3, 1, 3)
[Game   1] [Move  18] Player: P2   (UCT ) | Sims:   128 | Time:  1.508s | Move: (6, 2, 5, 2)
[Game   1] [Move  19] Player: P1   (MCVS) | Sims:   109 | Time:  1.501s | Move: (0, 5, 1, 5)
[Game   1] [Move  20] Player: P2   (UCT ) | Sims:   149 | Time:  1.506s | Move: (6, 4, 5, 4)
[Game   1] [Move  21] Player: P1   (MCVS) | Sims:   118 | Time:  1.511s | Move: (0, 0, 1, 0)
[Game   1] [Move  22] Player: P2   (UCT ) | Sims:   181 | Time:  1.505s | Move: (5, 2, 4, 2)
[Game   1] [Move  23] Player: P1   (MCVS) | Sims:   118 | Time:  1.504s | Move: (0, 1, 1, 1)
[Game   1] [Move  24] Player: P2   (UCT ) | Sims:   144 | Time:  1.516s | Move: (6, 1, 5, 1)
[Game   1] [Move  25] Player: P1   (MCVS) | Sims:   115 | Time:  1.500s | Move: (1, 2, 2, 2)
[Game   1] [Move  26] Player: P2   (UCT ) | Sims:   207 | Time:  1.509s | Move: (6, 6, 5, 6)
[Game   1] [Move  27] Player: P1   (MCVS) | Sims:   117 | Time:  1.510s | Move: (2, 7, 3, 7)
[Game   1] [Move  28] Player: P2   (UCT ) | Sims:   115 | Time:  1.505s | Move: (4, 3, 3, 3)
[Game   1] [Move  29] Player: P1   (MCVS) | Sims:   114 | Time:  1.503s | Move: (2, 0, 3, 0)
[Game   1] [Move  30] Player: P2   (UCT ) | Sims:   171 | Time:  1.513s | Move: (5, 6, 4, 6)
[Game   1] [Move  31] Player: P1   (MCVS) | Sims:   118 | Time:  1.512s | Move: (3, 0, 4, 0)
[Game   1] [Move  32] Player: P2   (UCT ) | Sims:   178 | Time:  1.504s | Move: (7, 6, 6, 6)
[Game   1] [Move  33] Player: P1   (MCVS) | Sims:   116 | Time:  1.505s | Move: (1, 4, 2, 4)
