Starting 200-game Breakthrough MCVS vs UCT tournament
Game   1/200 | MCVS       (moves= 67) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 21 | ETA: 365.3 min
Game   2/200 | UCT        (moves= 71) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 46 | ETA: 359.9 min
Game   3/200 | Draw       (moves= 82) | MCVS wins:   1 | Draws:   1 | Queue: 0 | Learned: 1 | DB: 67 | ETA: 375.9 min
Game   4/200 | UCT        (moves= 69) | MCVS wins:   1 | Draws:   1 | Queue: 1 | Learned: 2 | DB: 99 | ETA: 366.6 min
Game   5/200 | UCT        (moves= 88) | MCVS wins:   1 | Draws:   1 | Queue: 0 | Learned: 3 | DB: 128 | ETA: 379.2 min
Game   6/200 | UCT        (moves= 51) | MCVS wins:   1 | Draws:   1 | Queue: 0 | Learned: 4 | DB: 148 | ETA: 356.2 min
Game   7/200 | MCVS       (moves= 69) | MCVS wins:   2 | Draws:   1 | Queue: 1 | Learned: 5 | DB: 171 | ETA: 352.0 min
Game   8/200 | UCT        (moves= 59) | MCVS wins:   2 | Draws:   1 | Queue: 1 | Learned: 6 | DB: 195 | ETA: 342.3 min
Game   9/200 | MCVS       (moves= 43) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 7 | DB: 211 | ETA: 325.9 min
Game  10/200 | UCT        (moves= 83) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 8 | DB: 234 | ETA: 331.8 min
Game  11/200 | UCT        (moves= 56) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 9 | DB: 251 | ETA: 324.5 min
Game  12/200 | UCT        (moves= 33) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 10 | DB: 264 | ETA: 309.1 min
Game  13/200 | UCT        (moves= 80) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 11 | DB: 287 | ETA: 313.1 min
Game  14/200 | UCT        (moves= 55) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 12 | DB: 306 | ETA: 307.7 min
Game  15/200 | UCT        (moves= 66) | MCVS wins:   3 | Draws:   1 | Queue: 0 | Learned: 13 | DB: 324 | ETA: 306.4 min
Game  16/200 | UCT        (moves= 91) | MCVS wins:   3 | Draws:   1 | Queue: 0 | Learned: 14 | DB: 357 | ETA: 312.3 min
Game  17/200 | UCT        (moves= 94) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 15 | DB: 381 | ETA: 318.0 min
Game  18/200 | UCT        (moves= 79) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 16 | DB: 408 | ETA: 319.1 min
Game  19/200 | UCT        (moves= 96) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 17 | DB: 442 | ETA: 323.9 min
Game  20/200 | UCT        (moves= 77) | MCVS wins:   3 | Draws:   1 | Queue: 1 | Learned: 18 | DB: 471 | ETA: 323.6 min
Game  21/200 | MCVS       (moves= 93) | MCVS wins:   4 | Draws:   1 | Queue: 1 | Learned: 19 | DB: 495 | ETA: 326.6 min
