Starting 200-game Breakthrough MCVS vs UCT tournament
Game   1/200 | MCVS       (moves= 87) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 20 | ETA: 447.1 min
Game   2/200 | UCT        (moves= 49) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 37 | ETA: 349.0 min
Game   3/200 | MCVS       (moves= 63) | MCVS wins:   2 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 59 | ETA: 339.5 min
Game   4/200 | UCT        (moves= 83) | MCVS wins:   2 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 85 | ETA: 358.5 min
Game   5/200 | MCVS       (moves= 85) | MCVS wins:   3 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 116 | ETA: 371.5 min
Game   6/200 | UCT        (moves= 53) | MCVS wins:   3 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 132 | ETA: 353.4 min
Game   7/200 | MCVS       (moves= 47) | MCVS wins:   4 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 141 | ETA: 335.7 min
Game   8/200 | MCVS       (moves= 50) | MCVS wins:   5 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 158 | ETA: 323.6 min
Game   9/200 | MCVS       (moves= 71) | MCVS wins:   6 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 183 | ETA: 325.6 min
Game  10/200 | MCVS       (moves= 14) | MCVS wins:   7 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 191 | ETA: 298.6 min
Game  11/200 | MCVS       (moves= 93) | MCVS wins:   8 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 219 | ETA: 311.8 min
Game  12/200 | MCVS       (moves= 40) | MCVS wins:   9 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 240 | ETA: 300.8 min
Game  13/200 | MCVS       (moves= 71) | MCVS wins:  10 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 266 | ETA: 303.2 min
Game  14/200 | UCT        (moves= 51) | MCVS wins:  10 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 285 | ETA: 297.9 min
