Starting 200-game Chess MCVS vs UCT tournament
Game   1/200 | MCVS       (moves=115) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 31 | ETA: 670.1 min
Game   2/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   1 | Queue: 1 | Learned: 0 | DB: 84 | ETA: 732.9 min
Game   3/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   2 | Queue: 0 | Learned: 1 | DB: 134 | ETA: 754.9 min
Game   4/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   3 | Queue: 0 | Learned: 2 | DB: 172 | ETA: 762.9 min
Game   5/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   4 | Queue: 0 | Learned: 3 | DB: 218 | ETA: 767.6 min
Game   6/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   5 | Queue: 0 | Learned: 4 | DB: 266 | ETA: 768.8 min
Game   7/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   6 | Queue: 1 | Learned: 5 | DB: 324 | ETA: 767.6 min
Game   8/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   7 | Queue: 0 | Learned: 6 | DB: 375 | ETA: 767.1 min
Game   9/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:   8 | Queue: 1 | Learned: 7 | DB: 417 | ETA: 765.1 min
Game  10/200 | Draw       (moves=126) | MCVS wins:   1 | Draws:   9 | Queue: 1 | Learned: 8 | DB: 464 | ETA: 750.3 min
Game  11/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  10 | Queue: 1 | Learned: 9 | DB: 504 | ETA: 749.1 min
Game  12/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  11 | Queue: 1 | Learned: 10 | DB: 554 | ETA: 746.2 min
Game  13/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  12 | Queue: 1 | Learned: 11 | DB: 593 | ETA: 744.5 min
Game  14/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  13 | Queue: 0 | Learned: 12 | DB: 635 | ETA: 741.4 min
Game  15/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  14 | Queue: 0 | Learned: 13 | DB: 681 | ETA: 738.7 min
Game  16/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  15 | Queue: 1 | Learned: 14 | DB: 720 | ETA: 735.1 min
Game  17/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  16 | Queue: 0 | Learned: 15 | DB: 761 | ETA: 732.1 min
Game  18/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  17 | Queue: 1 | Learned: 16 | DB: 803 | ETA: 728.7 min
Game  19/200 | UCT        (moves=140) | MCVS wins:   1 | Draws:  17 | Queue: 1 | Learned: 17 | DB: 850 | ETA: 723.0 min
Game  20/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  18 | Queue: 1 | Learned: 18 | DB: 905 | ETA: 720.1 min
Game  21/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  19 | Queue: 0 | Learned: 19 | DB: 959 | ETA: 716.6 min
Game  22/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  20 | Queue: 0 | Learned: 20 | DB: 1005 | ETA: 713.1 min
Game  23/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  21 | Queue: 0 | Learned: 21 | DB: 1050 | ETA: 709.4 min
Game  24/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  22 | Queue: 1 | Learned: 22 | DB: 1102 | ETA: 705.8 min
Game  25/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  23 | Queue: 1 | Learned: 23 | DB: 1153 | ETA: 702.1 min
Game  26/200 | Draw       (moves=150) | MCVS wins:   1 | Draws:  24 | Queue: 0 | Learned: 24 | DB: 1197 | ETA: 698.7 min
Game  27/200 | MCVS       (moves=141) | MCVS wins:   2 | Draws:  24 | Queue: 0 | Learned: 25 | DB: 1234 | ETA: 693.7 min
Game  28/200 | Draw       (moves=150) | MCVS wins:   2 | Draws:  25 | Queue: 1 | Learned: 26 | DB: 1273 | ETA: 690.2 min
Game  29/200 | UCT        (moves=132) | MCVS wins:   2 | Draws:  25 | Queue: 0 | Learned: 27 | DB: 1308 | ETA: 684.0 min
Game  30/200 | Draw       (moves=150) | MCVS wins:   2 | Draws:  26 | Queue: 0 | Learned: 28 | DB: 1352 | ETA: 680.2 min
Game  31/200 | Draw       (moves=150) | MCVS wins:   2 | Draws:  27 | Queue: 0 | Learned: 29 | DB: 1400 | ETA: 676.6 min
Game  32/200 | Draw       (moves=150) | MCVS wins:   2 | Draws:  28 | Queue: 1 | Learned: 30 | DB: 1442 | ETA: 672.9 min
