Starting 200-game Draughts MCVS vs UCT tournament
Game   1/200 | MCVS       (moves= 45) | MCVS wins:   1 | Draws:   0 | Queue: 0 | Learned: 0 | DB: 14 | ETA: 261.8 min
Game   2/200 | MCVS       (moves= 46) | MCVS wins:   2 | Draws:   0 | Queue: 1 | Learned: 0 | DB: 31 | ETA: 250.0 min
Game   3/200 | UCT        (moves= 54) | MCVS wins:   2 | Draws:   0 | Queue: 0 | Learned: 1 | DB: 50 | ETA: 259.1 min
Game   4/200 | MCVS       (moves= 40) | MCVS wins:   3 | Draws:   0 | Queue: 0 | Learned: 2 | DB: 58 | ETA: 244.8 min
Game   5/200 | MCVS       (moves=111) | MCVS wins:   4 | Draws:   0 | Queue: 0 | Learned: 3 | DB: 93 | ETA: 308.5 min
Game   6/200 | MCVS       (moves= 82) | MCVS wins:   5 | Draws:   0 | Queue: 0 | Learned: 4 | DB: 121 | ETA: 325.4 min
Game   7/200 | UCT        (moves= 80) | MCVS wins:   5 | Draws:   0 | Queue: 0 | Learned: 5 | DB: 148 | ETA: 335.6 min
Game   8/200 | UCT        (moves= 41) | MCVS wins:   5 | Draws:   0 | Queue: 0 | Learned: 6 | DB: 164 | ETA: 318.0 min
Game   9/200 | UCT        (moves= 46) | MCVS wins:   5 | Draws:   0 | Queue: 0 | Learned: 7 | DB: 178 | ETA: 306.9 min
Game  10/200 | Draw       (moves=150) | MCVS wins:   5 | Draws:   1 | Queue: 0 | Learned: 8 | DB: 225 | ETA: 349.6 min
Game  11/200 | UCT        (moves= 82) | MCVS wins:   5 | Draws:   1 | Queue: 0 | Learned: 9 | DB: 255 | ETA: 353.2 min
Game  12/200 | UCT        (moves= 89) | MCVS wins:   5 | Draws:   1 | Queue: 1 | Learned: 10 | DB: 290 | ETA: 358.7 min
Game  13/200 | MCVS       (moves= 65) | MCVS wins:   6 | Draws:   1 | Queue: 1 | Learned: 11 | DB: 312 | ETA: 354.0 min
Game  14/200 | MCVS       (moves= 60) | MCVS wins:   7 | Draws:   1 | Queue: 0 | Learned: 12 | DB: 338 | ETA: 348.0 min
Game  15/200 | UCT        (moves= 52) | MCVS wins:   7 | Draws:   1 | Queue: 0 | Learned: 13 | DB: 351 | ETA: 339.9 min
Game  16/200 | UCT        (moves= 49) | MCVS wins:   7 | Draws:   1 | Queue: 0 | Learned: 14 | DB: 365 | ETA: 331.8 min
Game  17/200 | UCT        (moves= 98) | MCVS wins:   7 | Draws:   1 | Queue: 0 | Learned: 15 | DB: 393 | ETA: 338.3 min
Game  18/200 | MCVS       (moves= 50) | MCVS wins:   8 | Draws:   1 | Queue: 0 | Learned: 16 | DB: 411 | ETA: 331.1 min
Game  19/200 | Draw       (moves=150) | MCVS wins:   8 | Draws:   2 | Queue: 1 | Learned: 17 | DB: 451 | ETA: 349.4 min
Game  20/200 | MCVS       (moves=120) | MCVS wins:   9 | Draws:   2 | Queue: 0 | Learned: 18 | DB: 486 | ETA: 358.6 min
Game  21/200 | MCVS       (moves= 35) | MCVS wins:  10 | Draws:   2 | Queue: 0 | Learned: 19 | DB: 502 | ETA: 347.5 min
Game  22/200 | MCVS       (moves= 52) | MCVS wins:  11 | Draws:   2 | Queue: 0 | Learned: 20 | DB: 515 | ETA: 340.9 min
Game  23/200 | MCVS       (moves= 47) | MCVS wins:  12 | Draws:   2 | Queue: 1 | Learned: 21 | DB: 528 | ETA: 333.8 min
Game  24/200 | MCVS       (moves= 50) | MCVS wins:  13 | Draws:   2 | Queue: 0 | Learned: 22 | DB: 546 | ETA: 327.8 min
Game  25/200 | UCT        (moves= 52) | MCVS wins:  13 | Draws:   2 | Queue: 0 | Learned: 23 | DB: 563 | ETA: 322.4 min
