====================================================================================================
DRAUGHTS ABLATION (ZONE ONLY) - MOVE LOG
Started: 2026-02-07 17:36:42
====================================================================================================

[Game   1] [Move   1] Player: P1   (MCVS) | Sims:    31 | Time:  1.522s | Move: (5, 0, 4, 1)
[Game   1] [Move   2] Player: P2   (UCT ) | Sims:   530 | Time:  1.506s | Move: (2, 5, 3, 6)
[Game   1] [Move   3] Player: P1   (MCVS) | Sims:    33 | Time:  1.523s | Move: (6, 1, 5, 0)
[Game   1] [Move   4] Player: P2   (UCT ) | Sims:   560 | Time:  1.506s | Move: (1, 4, 2, 5)
[Game   1] [Move   5] Player: P1   (MCVS) | Sims:    32 | Time:  1.507s | Move: (4, 1, 3, 2)
[Game   1] [Move   6] Player: P2   (UCT ) | Sims:   554 | Time:  1.508s | Move: (2, 1, 4, 3)
[Game   1] [Move   7] Player: P1   (MCVS) | Sims:    33 | Time:  1.523s | Move: (5, 4, 3, 2)
[Game   1] [Move   8] Player: P2   (UCT ) | Sims:   610 | Time:  1.504s | Move: (2, 3, 4, 1)
[Game   1] [Move   9] Player: P1   (MCVS) | Sims:    34 | Time:  1.540s | Move: (5, 2, 3, 0)
[Game   1] [Move  10] Player: P2   (UCT ) | Sims:   660 | Time:  1.504s | Move: (3, 6, 4, 5)
[Game   1] [Move  11] Player: P1   (MCVS) | Sims:    33 | Time:  1.508s | Move: (5, 6, 3, 4)
[Game   1] [Move  12] Player: P2   (UCT ) | Sims:   642 | Time:  1.502s | Move: (2, 5, 4, 3)
[Game   1] [Move  13] Player: P1   (MCVS) | Sims:    31 | Time:  1.522s | Move: (6, 5, 5, 4)
[Game   1] [Move  14] Player: P2   (UCT ) | Sims:   656 | Time:  1.506s | Move: (4, 3, 6, 5)
[Game   1] [Move  15] Player: P1   (MCVS) | Sims:    34 | Time:  1.524s | Move: (7, 6, 5, 4)
[Game   1] [Move  16] Player: P2   (UCT ) | Sims:   648 | Time:  1.510s | Move: (2, 7, 3, 6)
[Game   1] [Move  17] Player: P1   (MCVS) | Sims:    34 | Time:  1.505s | Move: (6, 7, 5, 6)
[Game   1] [Move  18] Player: P2   (UCT ) | Sims:   714 | Time:  1.511s | Move: (1, 6, 2, 5)
[Game   1] [Move  19] Player: P1   (MCVS) | Sims:    34 | Time:  1.506s | Move: (5, 6, 4, 7)
[Game   1] [Move  20] Player: P2   (UCT ) | Sims:   750 | Time:  1.506s | Move: (2, 5, 3, 4)
[Game   1] [Move  21] Player: P1   (MCVS) | Sims:    35 | Time:  1.552s | Move: (4, 7, 2, 5)
[Game   1] [Move  22] Player: P2   (UCT ) | Sims:   844 | Time:  1.512s | Move: (0, 5, 1, 6)
[Game   1] [Move  23] Player: P1   (MCVS) | Sims:    34 | Time:  1.523s | Move: (7, 0, 6, 1)
[Game   1] [Move  24] Player: P2   (UCT ) | Sims:   846 | Time:  1.507s | Move: (1, 2, 2, 3)
[Game   1] [Move  25] Player: P1   (MCVS) | Sims:    35 | Time:  1.539s | Move: (5, 4, 4, 5)
[Game   1] [Move  26] Player: P2   (UCT ) | Sims:   868 | Time:  1.508s | Move: (3, 4, 5, 6)
[Game   1] [Move  27] Player: P1   (MCVS) | Sims:    35 | Time:  1.539s | Move: (6, 3, 5, 2)
[Game   1] [Move  28] Player: P2   (UCT ) | Sims:   964 | Time:  1.509s | Move: (1, 6, 3, 4)
[Game   1] [Move  29] Player: P1   (MCVS) | Sims:    35 | Time:  1.525s | Move: (5, 2, 4, 1)
[Game   1] [Move  30] Player: P2   (UCT ) | Sims:   850 | Time:  1.507s | Move: (0, 1, 1, 2)
[Game   1] [Move  31] Player: P1   (MCVS) | Sims:    34 | Time:  1.508s | Move: (6, 1, 5, 2)
