Starting 200-game Draughts ablation tournament (Zone-Guided MCVS vs standard UCT)
Game   1/200 | UCT        (moves=116) | MCVS wins:   0 | Draws:   0 | Zone DB size: 36 | ETA: 599.2 min
Game   2/200 | MCVS       (moves= 68) | MCVS wins:   1 | Draws:   0 | Zone DB size: 61 | ETA: 472.4 min
Game   3/200 | UCT        (moves=112) | MCVS wins:   1 | Draws:   0 | Zone DB size: 94 | ETA: 504.1 min
Game   4/200 | MCVS       (moves=132) | MCVS wins:   2 | Draws:   0 | Zone DB size: 124 | ETA: 544.1 min
Game   5/200 | UCT        (moves= 92) | MCVS wins:   2 | Draws:   0 | Zone DB size: 155 | ETA: 526.1 min
Game   6/200 | UCT        (moves=103) | MCVS wins:   2 | Draws:   0 | Zone DB size: 194 | ETA: 522.4 min
Game   7/200 | UCT        (moves= 50) | MCVS wins:   2 | Draws:   0 | Zone DB size: 213 | ETA: 481.2 min
Game   8/200 | MCVS       (moves=104) | MCVS wins:   3 | Draws:   0 | Zone DB size: 247 | ETA: 483.9 min
Game   9/200 | UCT        (moves=136) | MCVS wins:   3 | Draws:   0 | Zone DB size: 291 | ETA: 502.8 min
Game  10/200 | MCVS       (moves= 94) | MCVS wins:   4 | Draws:   0 | Zone DB size: 322 | ETA: 496.5 min
Game  11/200 | UCT        (moves= 46) | MCVS wins:   4 | Draws:   0 | Zone DB size: 337 | ETA: 469.6 min
Game  12/200 | UCT        (moves=103) | MCVS wins:   4 | Draws:   0 | Zone DB size: 375 | ETA: 470.1 min
Game  13/200 | UCT        (moves= 58) | MCVS wins:   4 | Draws:   0 | Zone DB size: 395 | ETA: 453.4 min
Game  14/200 | UCT        (moves= 91) | MCVS wins:   4 | Draws:   0 | Zone DB size: 421 | ETA: 450.1 min
Game  15/200 | UCT        (moves= 72) | MCVS wins:   4 | Draws:   0 | Zone DB size: 445 | ETA: 440.9 min
Game  16/200 | UCT        (moves= 51) | MCVS wins:   4 | Draws:   0 | Zone DB size: 456 | ETA: 426.4 min
Game  17/200 | UCT        (moves= 52) | MCVS wins:   4 | Draws:   0 | Zone DB size: 471 | ETA: 413.7 min
Game  18/200 | UCT        (moves= 41) | MCVS wins:   4 | Draws:   0 | Zone DB size: 483 | ETA: 399.4 min
Game  19/200 | UCT        (moves= 90) | MCVS wins:   4 | Draws:   0 | Zone DB size: 510 | ETA: 398.6 min
Game  20/200 | UCT        (moves= 55) | MCVS wins:   4 | Draws:   0 | Zone DB size: 530 | ETA: 389.4 min
Game  21/200 | MCVS       (moves= 51) | MCVS wins:   5 | Draws:   0 | Zone DB size: 544 | ETA: 380.1 min
Game  22/200 | UCT        (moves=135) | MCVS wins:   5 | Draws:   0 | Zone DB size: 586 | ETA: 389.2 min
Game  23/200 | UCT        (moves= 54) | MCVS wins:   5 | Draws:   0 | Zone DB size: 607 | ETA: 381.0 min
Game  24/200 | Draw       (moves=150) | MCVS wins:   5 | Draws:   1 | Zone DB size: 657 | ETA: 391.6 min
Game  25/200 | UCT        (moves= 98) | MCVS wins:   5 | Draws:   1 | Zone DB size: 683 | ETA: 391.6 min
Game  26/200 | UCT        (moves=139) | MCVS wins:   5 | Draws:   1 | Zone DB size: 720 | ETA: 398.6 min
Game  27/200 | UCT        (moves= 46) | MCVS wins:   5 | Draws:   1 | Zone DB size: 736 | ETA: 389.3 min
Game  28/200 | UCT        (moves= 41) | MCVS wins:   5 | Draws:   1 | Zone DB size: 748 | ETA: 379.7 min
Game  29/200 | MCVS       (moves=103) | MCVS wins:   6 | Draws:   1 | Zone DB size: 780 | ETA: 380.3 min
Game  30/200 | UCT        (moves= 45) | MCVS wins:   6 | Draws:   1 | Zone DB size: 798 | ETA: 372.1 min
Game  31/200 | UCT        (moves= 54) | MCVS wins:   6 | Draws:   1 | Zone DB size: 815 | ETA: 365.7 min
Game  32/200 | MCVS       (moves= 54) | MCVS wins:   7 | Draws:   1 | Zone DB size: 832 | ETA: 359.5 min
Game  33/200 | UCT        (moves= 40) | MCVS wins:   7 | Draws:   1 | Zone DB size: 841 | ETA: 351.8 min
Game  34/200 | Draw       (moves=150) | MCVS wins:   7 | Draws:   2 | Zone DB size: 883 | ETA: 358.5 min
Game  35/200 | UCT        (moves=102) | MCVS wins:   7 | Draws:   2 | Zone DB size: 916 | ETA: 358.6 min
Game  36/200 | MCVS       (moves= 42) | MCVS wins:   8 | Draws:   2 | Zone DB size: 930 | ETA: 351.6 min
Game  37/200 | Draw       (moves=150) | MCVS wins:   8 | Draws:   3 | Zone DB size: 973 | ETA: 357.2 min
Game  38/200 | UCT        (moves= 57) | MCVS wins:   8 | Draws:   3 | Zone DB size: 994 | ETA: 352.0 min
Game  39/200 | UCT        (moves= 66) | MCVS wins:   8 | Draws:   3 | Zone DB size: 1,018 | ETA: 347.9 min
Game  40/200 | UCT        (moves= 41) | MCVS wins:   8 | Draws:   3 | Zone DB size: 1,032 | ETA: 341.4 min
Game  41/200 | UCT        (moves= 48) | MCVS wins:   8 | Draws:   3 | Zone DB size: 1,051 | ETA: 335.8 min
Game  42/200 | MCVS       (moves= 44) | MCVS wins:   9 | Draws:   3 | Zone DB size: 1,061 | ETA: 330.1 min
Game  43/200 | UCT        (moves= 38) | MCVS wins:   9 | Draws:   3 | Zone DB size: 1,077 | ETA: 324.0 min
Game  44/200 | UCT        (moves= 51) | MCVS wins:   9 | Draws:   3 | Zone DB size: 1,094 | ETA: 319.3 min
Game  45/200 | Draw       (moves=150) | MCVS wins:   9 | Draws:   4 | Zone DB size: 1,142 | ETA: 323.6 min
Game  46/200 | UCT        (moves= 49) | MCVS wins:   9 | Draws:   4 | Zone DB size: 1,159 | ETA: 318.8 min
Game  47/200 | UCT        (moves= 48) | MCVS wins:   9 | Draws:   4 | Zone DB size: 1,178 | ETA: 314.1 min
Game  48/200 | UCT        (moves= 75) | MCVS wins:   9 | Draws:   4 | Zone DB size: 1,195 | ETA: 311.7 min
Game  49/200 | MCVS       (moves= 41) | MCVS wins:  10 | Draws:   4 | Zone DB size: 1,207 | ETA: 306.7 min
Game  50/200 | MCVS       (moves= 96) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,230 | ETA: 306.0 min
Game  51/200 | UCT        (moves= 46) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,245 | ETA: 301.6 min
Game  52/200 | UCT        (moves= 49) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,263 | ETA: 297.4 min
Game  53/200 | UCT        (moves= 94) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,302 | ETA: 296.6 min
Game  54/200 | UCT        (moves=111) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,333 | ETA: 297.0 min
Game  55/200 | UCT        (moves= 68) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,357 | ETA: 294.3 min
Game  56/200 | UCT        (moves= 53) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,383 | ETA: 290.6 min
Game  57/200 | UCT        (moves= 92) | MCVS wins:  11 | Draws:   4 | Zone DB size: 1,404 | ETA: 289.5 min
Game  58/200 | MCVS       (moves= 48) | MCVS wins:  12 | Draws:   4 | Zone DB size: 1,423 | ETA: 285.6 min
Game  59/200 | UCT        (moves= 48) | MCVS wins:  12 | Draws:   4 | Zone DB size: 1,440 | ETA: 281.8 min
Game  60/200 | MCVS       (moves= 94) | MCVS wins:  13 | Draws:   4 | Zone DB size: 1,469 | ETA: 280.8 min
Game  61/200 | MCVS       (moves=121) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,506 | ETA: 281.4 min
Game  62/200 | UCT        (moves= 49) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,521 | ETA: 277.7 min
Game  63/200 | UCT        (moves=110) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,557 | ETA: 277.6 min
Game  64/200 | UCT        (moves= 59) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,579 | ETA: 274.5 min
Game  65/200 | UCT        (moves= 44) | MCVS wins:  14 | Draws:   4 | Zone DB size: 1,597 | ETA: 270.7 min
